Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Thorium Holt Gloves,2618290591,"""6917529770282317309""",,Legendary,Gauntlets,legendaryengram,Warlock,1495,,Void Energy Capacity,2,Warlock(1396),true,false,false,4,13,,9,18,2,2,9,17,57,0,9,18,2,2,9,17,57,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Atonement Tau,3391214896,"""6917529611060895092""",,Rare,Chest Armor,campaign,Warlock,1350,,Arc Energy Capacity,5,Warlock(1396),true,false,false,2,4,,12,12,2,8,6,12,52,0,12,12,2,8,6,12,52,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Chromatic Fire,4057299718,"""6917529676343614180""",,Exotic,Chest Armor,,Warlock,1508,,Void Energy Capacity,1,Warlock(1396),true,false,false,2,4,,6,8,11,6,6,10,47,0,6,8,11,6,6,10,47,0,combatstyle,,Change Energy Type*,*,*,*,*,Crystalline Transistor*,,,,,
Simulator Hood,2538410394,"""6917529584137324270""",,Legendary,Helmet,fwc,Warlock,1350,,Arc Energy Capacity,3,Warlock(1396),true,false,true,3,10,,8,17,2,8,12,6,53,0,8,17,2,8,12,6,53,0,combatstyle,,Mercury Vex Chrome*,Upgrade Armor*,*,*,*,*,,,,,
Anti-Extinction Gloves,1600224949,"""6917529584137327906""",,Legendary,Gauntlets,do,Warlock,1350,,Arc Energy Capacity,3,Warlock(1396),true,false,true,3,10,,8,2,16,2,19,6,53,0,8,2,16,2,19,6,53,0,combatstyle,,Shattered Sinew*,Upgrade Armor*,*,*,*,*,Philomath Gloves*,,,,
Prodigal Robes,571127634,"""6917529606062686888""",,Legendary,Chest Armor,legendaryengram,Warlock,1350,,Solar Energy Capacity,1,Warlock(1396),true,false,true,4,15,,6,7,16,14,2,10,55,0,6,7,16,14,2,10,55,0,combatstyle,,Monochromatic*,Change Energy Type*,*,*,*,*,Opulent Scholar Robes*,,,,
Prodigal Steps,4053460984,"""6917529545544305321""",,Legendary,Leg Armor,legendaryengram,Warlock,1350,,Arc Energy Capacity,3,Warlock(1396),true,false,true,4,15,,11,2,13,2,10,14,52,0,11,2,13,2,10,14,52,0,combatstyle,,Precursor Vex Chrome*,Upgrade Armor*,*,*,*,*,Meridian Constellation Pants*,,,,
Entanglement Bond,2657180960,"""6917529584137331939""",,Legendary,Warlock Bond,fwc,Warlock,1350,,Arc Energy Capacity,4,Warlock(1396),true,false,true,3,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Wicked Overgrowth*,Upgrade Armor*,,,,,,,,,
Tangled Web Mask,141163281,"""6917529791392685081""",,Legendary,Helmet,legendaryengram,Hunter,1551,,Stasis Cost,2,Hunter(1535),true,false,false,4,15,,13,6,6,13,7,7,52,0,13,6,6,13,7,7,52,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis,856745412,"""6917529791400863210""",,Rare,Helmet,campaign,Hunter,1551,,Void Energy Capacity,5,Hunter(1535),true,false,false,2,4,,2,6,17,16,6,2,49,0,2,6,17,16,6,2,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Dead End Cure 2.1,3064716714,"""6917529758355441461""",junk,Legendary,Helmet,legendaryengram,Hunter,1543,,Solar Energy Capacity,1,Hunter(1535),true,false,false,4,15,,2,18,8,2,12,10,52,0,2,18,8,2,12,10,52,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Shadow Specter,3160437036,"""6917529791407407754""",,Rare,Gauntlets,campaign,Hunter,1553,,Arc Energy Capacity,5,Hunter(1535),true,false,false,2,4,,13,7,6,6,2,16,50,0,13,7,6,6,2,16,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Liar's Handshake,4165919945,"""6917529778281259960""",,Exotic,Gauntlets,,Hunter,1547,,Stasis Cost,4,Hunter(1535),true,false,false,2,6,,16,9,8,10,7,13,63,0,16,9,8,10,7,13,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Cross Counter*,,,,,
Iron Forerunner Vest,1615052875,"""6917529748344138115""",keep,Legendary,Chest Armor,ironbanner,Hunter,1527,,Solar Energy Capacity,1,Hunter(1535),true,true,false,4,15,,10,17,2,23,8,2,62,0,10,17,2,23,8,2,62,0,combatstyle,,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,,
St0mp-EE5,193869520,"""6917529507256542384""",favorite,Exotic,Leg Armor,,Hunter,1514,,Arc Energy Capacity,1,Hunter(1535),true,true,false,1,1,,8,24,2,9,15,7,65,0,8,24,2,9,15,7,65,0,combatstyle,,Mercury Vex Chrome*,Change Energy Type*,*,*,*,*,Hydraulic Boosters*,,,,
Sovereign Boots,869711119,"""6917529790925423916""",,Legendary,Leg Armor,nm,Hunter,1550,,Solar Energy Capacity,4,Hunter(1535),true,false,false,3,10,,7,12,10,21,6,2,58,0,7,12,10,21,6,2,58,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Insight Rover Boots,2905153902,"""6917529790972545316""",,Legendary,Leg Armor,legendaryengram,Hunter,1558,,Arc Energy Capacity,3,Hunter(1535),true,false,false,3,11,,9,2,18,11,8,8,56,0,9,2,18,11,8,8,56,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Shadow Specter,4230626646,"""6917529791407402558""",,Rare,Leg Armor,campaign,Hunter,1553,,Solar Energy Capacity,5,Hunter(1535),true,false,false,2,4,,6,16,2,10,7,6,47,0,6,16,2,10,7,6,47,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Be Thy Guide,4121880513,"""6917529570859979416""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1427,,Arc Energy Capacity,7,Hunter(1535),true,true,false,4,15,,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,combatstyle,,Minor Recovery Mod*,Distribution*,Shield Break Charge*,Time-Honored*,Upgrade Armor*,Cinder Pinion Cloak*,,,,,
Airhead Hood,2751794833,"""6917529790943875650""",,Legendary,Hunter Cloak,,Hunter,1553,,Void Energy Capacity,3,Hunter(1535),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Medal Mantle,223597399,"""6917529745839316132""",,Legendary,Hunter Cloak,events,Hunter,1522,,Arc Energy Capacity,1,Hunter(1535),true,true,false,5,16,Guardian Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Rustberry*,Change Energy Type*,,,,,,,,,
Clandestine Maneuvers,265279665,"""6917529758399810275""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1538,,Solar Energy Capacity,5,Hunter(1535),true,false,false,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Cryptic Insignia*,Upgrade Armor*,Prodigal Cloak*,,,,,,,,
Icarus Drifter Vest,1399263478,"""6917529789857387461""",,Legendary,Chest Armor,legendaryengram,Hunter,1555,,Arc Energy Capacity,1,Hunter(1535),true,false,false,3,11,,13,2,11,8,6,13,53,0,13,2,11,8,6,13,53,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
War Mantis,803939997,"""6917529790903179463""",,Rare,Gauntlets,campaign,Hunter,1550,,Arc Energy Capacity,5,Hunter(1535),true,false,false,2,4,,14,20,18,0,0,0,52,0,14,20,18,0,0,0,52,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Mythos Hack 4.1,747210772,"""6917529790908356465""",,Rare,Chest Armor,campaign,Hunter,1551,,Arc Energy Capacity,5,Hunter(1535),true,false,false,2,4,,10,2,10,16,6,2,46,0,10,2,10,16,6,2,46,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
The Outlander's Cover,1992338980,"""6917529790908359883""",,Rare,Helmet,campaign,Hunter,1550,,Solar Energy Capacity,5,Hunter(1535),true,false,false,2,4,,6,2,16,12,11,2,49,0,6,2,16,12,11,2,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Shadow Specter,3309120116,"""6917529790920013309""",,Rare,Chest Armor,campaign,Hunter,1551,,Arc Energy Capacity,5,Hunter(1535),true,false,false,2,4,,11,10,2,11,6,6,46,0,11,10,2,11,6,6,46,0,,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis,856745412,"""6917529790920014718""",,Rare,Helmet,campaign,Hunter,1548,,Void Energy Capacity,5,Hunter(1535),true,false,false,2,4,,17,2,6,12,2,10,49,0,17,2,6,12,2,10,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Nea-Thonis Breather,3124726865,"""6917529666188980439""",keep,Legendary,Helmet,tangled,Hunter,1521,,Arc Energy Capacity,10,Hunter(1535),true,true,true,4,12,,10,8,25,15,15,4,77,0,8,6,13,13,13,2,55,0,combatstyle,,Recovery Mod*,Auto Rifle Targeting*,Harmonic Siphon*,Taking Charge*,Upgrade Armor*,*,*,*,*,Meridian Constellation Helmet*,
Holdfast Grips,3750210364,"""6917529517874639313""",favorite,Legendary,Gauntlets,seasonpass,Hunter,1530,,Void Energy Capacity,5,Hunter(1535),true,false,true,3,11,,18,13,7,9,18,6,71,0,18,13,2,9,18,6,66,0,combatstyle,,Minor Recovery Mod*,Fastball*,Bolstering Detonation*,Shield Break Charge*,Mercurian Sunrise*,Upgrade Armor*,*,*,*,*,Wild Hunt Grasps*
The Sixth Coyote,1474735277,"""6917529610174177879""",,Exotic,Chest Armor,,Hunter,1522,,Arc Energy Capacity,5,Hunter(1535),true,true,true,2,4,,26,7,3,8,19,14,77,0,26,7,3,8,9,14,67,0,combatstyle,,Intellect Mod*,Upgrade Armor*,*,*,*,*,Double Dodge*,,,,
Errant Knight 1.0,3166972772,"""6917529593030877004""",,Legendary,Leg Armor,legendaryengram,Hunter,1527,,Arc Energy Capacity,7,Hunter(1535),true,true,true,4,12,,19,10,12,6,14,9,70,0,19,10,2,6,14,9,60,0,combatstyle,,Recovery Mod*,Auto Rifle Holster*,Invigoration*,Byzantium Lotus*,Upgrade Armor*,*,*,*,*,Wild Hunt Strides*,
Prodigal Cloak,3356846604,"""6917529775318053161""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1551,,Solar Energy Capacity,4,Hunter(1535),true,false,true,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Welded Brass*,Upgrade Armor*,Kairos Function Cloak*,,,,,,,,
