Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Traveler's Chosen,53159280,"""6917529039838626897""",,Common,Sidearm,,KineticSlot,Kinetic,1350,,,,Warlock(1396),false,false,1,1,,85,82,49,35,12,0,0,66,300,33,15,64,0,0,0,,Adaptive Frame*,QuickDot SAS*,,,,,,,,,,,,,,
Survivor's Epitaph,310708513,"""6917529758368423585""",,Legendary,Hand Cannon,crucible,KineticSlot,Kinetic,1540,,Handling,2,Warlock(1396),false,false,4,14,,83,74,78,37,14,0,0,61,180,45,12,60,0,0,0,,Precision Frame*,Fluted Barrel*,Full Bore,Armor-Piercing Rounds*,Light Mag,Quickdraw*,Multikill Clip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Peacebond,829330711,"""6917529748614295671""",,Legendary,Sidearm,ironbanner,KineticSlot,Stasis,1535,,Stability,1,Warlock(1396),false,false,5,16,,92,69,75,28,12,0,0,100,491,29,30,65,0,0,0,,Adaptive Frame*,Fluted Barrel*,Smallbore,Steady Rounds*,Flared Magwell,Killing Wind*,Harmony*,Tier 1 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Survivor's Epitaph,310708513,"""6917529696699024387""",,Legendary,Hand Cannon,crucible,KineticSlot,Kinetic,1536,,Stability,5,Warlock(1396),true,false,4,14,,93,74,78,32,14,0,0,71,180,45,15,38,0,0,0,,Precision Frame*,Chambered Compensator*,Fluted Barrel,Appended Mag*,Ricochet Rounds,Killing Wind*,Adrenaline Junkie*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Survivor's Epitaph,310708513,"""6917529545593880756""",favorite,Legendary,Hand Cannon,crucible,KineticSlot,Kinetic,1511,,Handling,5,Warlock(1396),false,false,4,14,,93,74,78,47,14,0,0,66,180,45,12,38,0,0,0,,Precision Frame*,Extended Barrel*,Smallbore,Ricochet Rounds*,Flared Magwell,Tunnel Vision*,Wellspring*,Clouds at Sea*,Full Auto Retrofit*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Herod-C,1788603939,"""6917529757142436122""",,Legendary,Auto Rifle,drifter,KineticSlot,Stasis,1534,,Range,3,Warlock(1396),false,false,5,16,,76,61,33,87,19,0,0,32,360,38,37,35,0,0,0,,High-Impact Frame*,Corkscrew Rifling*,Extended Barrel,Appended Mag*,Light Mag,Heating Up*,Focused Fury*,Tier 3 Weapon*,Invader Tracker*,Hakke Breach Armaments,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Scathelocke,602618796,"""6917529537588688671""",keep,Legendary,Auto Rifle,legendaryengram,KineticSlot,Kinetic,1350,,Handling,2,Warlock(1396),false,false,4,15,,90,65,21,44,20,0,0,39,600,34,50,74,0,0,0,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Extended Mag*,Flared Magwell,Subsistence*,Multikill Clip*,Rustberry*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Peacebond,829330711,"""6917529748727944135""",,Legendary,Sidearm,ironbanner,KineticSlot,Stasis,1528,,Reload Speed,1,Warlock(1396),true,true,5,16,,100,69,75,53,12,0,0,79,491,30,30,40,0,0,0,,Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Accurized Rounds*,Tactical Mag,Tunnel Vision*,Headstone*,Tier 1 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
The Number,2492081469,"""6917529564314817593""",,Legendary,Auto Rifle,legendaryengram,Energy,Arc,1350,,Stability,3,Warlock(1396),false,true,4,14,,70,44,29,65,20,0,0,33,450,16,39,31,0,0,0,,Precision Frame*,Full Bore*,Smallbore,Extended Mag*,Ricochet Rounds,Killing Wind*,Unrelenting*,Golden Trace*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Razor's Edge,1796949035,"""6917529666047827474""",junk,Legendary,Sword,ironbanner,Power,Void,1501,,Impact,3,Warlock(1396),false,true,5,16,,0,0,61,0,0,0,0,0,0,0,63,0,0,0,0,,Vortex Frame*,Hungry Edge*,Honed Edge,Tempered Edge,Burst Guard*,Swordmaster's Guard,Tireless Blade*,Counterattack*,Tier 3 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Seventh Seraph Carbine,1561006927,"""6917529480826279872""",favorite,Legendary,Auto Rifle,rasputin,KineticSlot,Kinetic,1547,,Range,10,Hunter(1535),true,false,3,10,,74,39,29,73,16,0,0,44,450,41,34,54,0,0,0,,Precision Frame*,Chambered Compensator,Fluted Barrel*,High-Caliber Rounds*,Flared Magwell,Hip-Fire Grip*,Rangefinder*,Redjacked*,Targeting Adjuster*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,*,,
Ace of Spades,347366834,"""6917529533946089924""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1516,,,,Hunter(1535),false,false,2,4,,100,70,84,85,14,0,0,50,140,42,13,50,0,0,0,,Memento Mori*,Corkscrew Rifling*,High-Caliber Rounds*,Firefly*,Smooth Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
The Last Word,1364093401,"""6917529607041064621""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1350,,,,Hunter(1535),false,false,2,5,,100,40,78,35,11,0,0,40,225,80,8,40,0,0,0,,Fan Fire*,Corkscrew Rifling*,Accurized Rounds*,Hip-Fire Grip*,Textured Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Coldheart,1345867571,"""6917529778275323091""",,Exotic,Trace Rifle,,Energy,Arc,1545,,,10,Hunter(1535),false,false,1,1,,100,100,6,70,16,0,0,70,1000,30,101,25,0,0,0,,Cold Fusion*,Extended Barrel*,Enhanced Battery*,Longest Winter*,Hand-Laid Stock*,Coldheart Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Seventh Seraph VY-7,766323545,"""6917529787258532683""",,Legendary,Submachine Gun,seasonpass,Energy,Arc,1549,,Reload Speed,1,Hunter(1535),false,false,3,10,,91,57,25,69,14,0,0,32,600,20,29,15,0,0,0,,Precision Frame*,Full Bore*,Smallbore,Appended Mag*,Alloy Magazine,Fourth Time's the Charm*,Feeding Frenzy*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Igneous Hammer,2351180975,"""6917529513940896735""",,Legendary,Hand Cannon,trials,Energy,Solar,1350,,Stability,4,Hunter(1535),false,false,4,13,,100,69,92,75,14,0,0,39,120,30,11,27,0,0,0,,Aggressive Frame*,Extended Barrel*,Smallbore,Appended Mag*,Light Mag,Killing Wind*,Snapshot Sights*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Fugue-55,2233545123,"""6917529778455983101""",,Legendary,Sniper Rifle,legendaryengram,Energy,Void,1548,,Handling,1,Hunter(1535),false,false,5,16,,74,66,70,64,50,0,0,54,90,45,4,63,0,0,0,,Adaptive Frame*,Fluted Barrel*,Smallbore,Accurized Rounds*,Steady Rounds,No Distractions*,Focused Fury*,Tier 1 Weapon*,Suros Synergy*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Deepsight Resonance*,,,
Hard Light,4124984448,"""6917529459705950082""",,Exotic,Auto Rifle,,Energy,Void,1511,,,10,Hunter(1535),false,false,1,1,,100,100,21,40,16,0,0,80,600,64,49,77,0,0,0,,Volatile Light*,Polygonal Rifling*,Alloy Magazine*,The Fundamentals*,Composite Stock*,Hard Light Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Jian 7 Rifle,1162247618,"""6917529790920019601""",,Legendary,Pulse Rifle,legendaryengram,Energy,Arc,1548,,Stability,4,Hunter(1535),false,false,3,10,,80,64,29,46,17,0,0,49,390,17,42,57,0,0,0,,Adaptive Frame*,SLO-10 Post*,SPO-26 Front,Extended Mag*,Appended Mag,Grave Robber*,Outlaw*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Deepsight Resonance*,,,,
Arsenic Bite-4b,720351795,"""6917529790920012476""",,Legendary,Combat Bow,legendaryengram,Energy,Arc,1550,,"Draw Time, Charge Time",1,Hunter(1535),false,false,3,11,,51,81,68,0,18,0,0,63,0,70,0,85,0,608,32,,Lightweight Frame*,Agile Bowstring*,Polymer String,Compact Arrow Shaft*,Natural Fletching,Quickdraw*,Sneak Bow*,Distant Earth*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Sunshot,2907129557,"""6917529635900991803""",,Exotic,Hand Cannon,,Energy,Solar,1359,,,10,Hunter(1535),false,false,1,1,,100,60,80,41,14,0,0,45,150,72,12,91,0,0,0,,Sunburn*,Chambered Compensator*,Accurized Rounds*,Sun Blast*,Textured Grip*,Sunshot Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Eriana's Vow,3524313097,"""6917529560040173737""",,Exotic,Hand Cannon,cipher,Energy,Solar,1350,,,,Hunter(1535),false,false,3,8,,100,80,100,100,24,0,0,30,90,24,6,23,0,0,0,,Looks Can Kill*,Extended Barrel*,Accurized Rounds*,Death at First Glance*,Polymer Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Seventh Seraph SAW,2582755344,"""6917529507197247810""",,Legendary,Machine Gun,rasputin,Power,Arc,1548,,Stability,2,Hunter(1535),false,false,3,10,,51,30,70,62,16,0,0,34,360,31,51,23,0,0,0,,High-Impact Frame*,Chambered Compensator*,Fluted Barrel,Appended Mag*,Ricochet Rounds,Clown Cartridge*,Mulligan*,Icarus Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Future Imperfect,2891976012,"""6917529791407410765""",,Rare,Sword,campaign,Power,Solar,1554,,,,Hunter(1535),false,false,2,4,,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,,Adaptive Frame*,Tempered Edge*,Hungry Edge,Enduring Guard*,En Garde*,,,,,,,,,,,
Swarm of the Raven,1972985595,"""6917529790930611248""",,Legendary,Grenade Launcher,ironbanner,Power,Void,1350,,Blast Radius,1,Hunter(1535),false,false,3,11,,63,27,0,0,13,41,44,36,150,21,4,18,0,0,0,,Rapid-Fire Frame*,Confined Launch*,Hard Launch,High-Explosive Ordnance*,Sticky Grenades,Threat Detector*,Quickdraw*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
